죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,기타범죄,교육환경법,-,-,-,-,-,-,1711,1082,703,329,297,325
총계,기타범죄,국민건강보험법,44,30,75,194,314,469,457,390,412,341,274,370
총계,기타범죄,국민연금법,28,23,51,52,183,105,154,134,132,88,71,92
총계,기타범죄,국토의계획및이용에관한법률,822,1107,990,1000,1276,1247,1498,1164,1539,1312,1320,1355
총계,기타범죄,권리행사를방해하는죄,3028,3138,4241,5122,6563,8868,11732,13030,11527,8829,6093,5919
총계,기타범죄,낙태의죄,34,37,32,31,39,34,20,28,20,27,3,2
총계,기타범죄,낚시관리및육성법위반,568,293,217,294,522,1741,989,559,1157,1036,502,865
총계,기타범죄,내수면어업법,162,110,79,94,95,81,64,42,65,65,47,33
총계,기타범죄,농수산물유통및가격안정에관한법률,69,45,81,224,28,37,31,32,40,28,26,12
총계,기타범죄,농수산물품질관리법,11,27,18,7,10,8,8,6,7,7,1,32
총계,기타범죄,농지법,612,774,667,776,907,899,796,723,702,861,1346,1066
총계,기타범죄,담배사업법,141,158,97,92,173,148,273,229,268,104,100,91
총계,기타범죄,도시가스사업법,13,13,26,15,25,40,35,34,47,50,63,57
총계,기타범죄,도시공원및녹지등에관한법률,144,95,84,109,125,119,128,84,80,82,83,56
총계,기타범죄,도주와도주원조죄,9,12,4,1,4,5,7,1,6,10,14,7
총계,기타범죄,독점규제및공정거래에관한법률,4,4,6,6,4,5,4,4,7,9,6,5
총계,기타범죄,동물보호법,-,-,-,-,-,-,-,-,-,-,1072,1237
총계,기타범죄,명예에관한죄,15006,18571,20137,25732,30330,28483,25046,27695,28885,29631,30814,34906
총계,기타범죄,무고의죄,2464,2734,3009,3123,3310,3617,3690,4212,4159,4685,4133,4976
총계,기타범죄,문화재보호법,75,99,87,209,156,127,164,125,142,107,150,124
총계,기타범죄,밀항단속법,113,72,45,32,18,16,3,7,8,3,-,2
총계,기타범죄,방문판매등에관한법률,238,170,140,111,210,173,174,118,148,187,56,46
총계,기타범죄,배타적경제수역의외국인어업등에관한법률,275,212,230,156,293,213,151,105,98,13,57,28
총계,기타범죄,범인은닉·범인도피죄,104,117,115,115,148,119,103,96,101,119,111,107
총계,기타범죄,변호사법,388,410,374,426,400,368,302,395,311,292,274,297
총계,기타범죄,보안관찰법,1,2,1,2,-,7,1,-,-,-,2,-
총계,기타범죄,부정경쟁방지및영업비밀보호에관한법률,455,503,508,466,413,502,419,552,493,567,416,531
총계,기타범죄,비밀침해죄,50,40,43,68,64,87,97,93,120,138,121,152
총계,기타범죄,비파괴검사기술의진흥및관리에관한법률,-,-,-,-,-,-,-,995,2,-,1,-
총계,기타범죄,사격장안전법,3,3,3,1,1,-,-,3,-,-,1,1
총계,기타범죄,산림법,10,6,10,2,2,3,1,2,3,224,170,131
총계,기타범죄,생명윤리및안전에관한법률,4,1,4,4,2,1,-,3,7,9,1,5
총계,기타범죄,석유및석유대체연료사업법,7191,5347,3449,935,643,730,987,1549,1309,976,464,431
총계,기타범죄,석유사업법,13,17,10,6,-,-,-,-,-,-,-,-
총계,기타범죄,선박안전법,798,468,865,1168,1121,2669,2288,1946,1109,1937,2090,1689
총계,기타범죄,선박직원법,2267,1592,2156,1103,1884,639,600,2178,2201,4322,3814,7017
총계,기타범죄,성매매방지및피해자보호등에관한법률위반,-,15,20,25,10,17,7,49,13,13,11,11
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매),3018,1695,1203,1163,1395,7268,4758,2628,1712,1027,1321,1796
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매강요등),38,22,25,31,24,29,27,26,23,16,12,19
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매광고),49,63,64,27,38,161,129,237,200,315,180,196
