죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
특별법범,골재채취법,소계,미성년,범죄자[명],명,,,,,,,,1,,,,,,,,,
특별법범,골재채취법,소계,성인,범죄자[명],명,71,84,81,94,101,116,104,103,131,264,190,151,103,150,115,93,117
특별법범,골재채취법,소계,미상,범죄자[명],명,1,2,3,3,1,2,1,,1,,22,7,1,10,1,1,11
특별법범,공공기관의 개인정보보호에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,,,,1,,,
특별법범,공공기관의 개인정보보호에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,55,106,102,120,137,81,170
특별법범,공공기관의 개인정보보호에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,24,14,4,12,8,12,16
특별법범,공연법,소계,미성년,범죄자[명],명,,1,,,,,,1,,,,,,,,,
특별법범,공연법,소계,성인,범죄자[명],명,20,25,21,31,6,9,11,13,13,6,,10,1,5,2,3,6
특별법범,공유수면관리법,소계,성인,범죄자[명],명,,,,,,,,,,,319,383,349,551,413,317,324
특별법범,공유수면관리법,소계,미상,범죄자[명],명,,,,,,,,,,,21,1,2,5,1,,7
특별법범,공중위생관리법,소계,미성년,범죄자[명],명,,,,,,,,,,,,,6,2,2,2,5
특별법범,공중위생관리법,소계,성인,범죄자[명],명,,,,,,,,,,,554,254,436,526,525,430,512
특별법범,공중위생관리법,소계,미상,범죄자[명],명,,,,,,,,,,,12,1,5,2,,1,3
