죄종별(1),죄종별(2),죄종별(3),범죄발생장소별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,강력범죄,강간,공지,-,-,3,3,2,2,3,2,1,-,1,1
총범죄,강력범죄,강간,주차장,-,-,70,52,57,47,48,54,37,37,20,45
총범죄,강력범죄,강간,공중화장실,-,-,72,42,46,56,47,62,59,44,43,48
총범죄,강력범죄,강간,PC방,-,-,6,3,6,5,2,1,2,3,4,3
총범죄,강력범죄,강간,기타,-,-,375,763,893,926,1093,418,310,299,377,560
총범죄,강력범죄,유사강간,아파트 연립다세대,-,-,21,68,73,101,138,176,209,229,247,240
총범죄,강력범죄,유사강간,단독주택,-,-,24,63,80,88,99,173,134,131,147,147
총범죄,강력범죄,유사강간,고속도로,-,-,-,-,1,-,-,-,-,-,-,2
총범죄,강력범죄,유사강간,노상,-,-,10,30,42,36,36,33,45,43,36,57
총범죄,강력범죄,유사강간,백화점,-,-,-,-,-,-,-,-,1,-,-,1
총범죄,강력범죄,유사강간,슈퍼마켓,-,-,1,-,2,-,-,1,1,-,-,-
총범죄,강력범죄,유사강간,편의점,-,-,-,-,-,-,1,1,-,3,2,-
총범죄,강력범죄,유사강간,대형할인매장,-,-,-,-,-,1,-,-,-,-,-,-
총범죄,강력범죄,유사강간,상점,-,-,1,2,3,3,2,2,7,11,10,9
총범죄,강력범죄,유사강간,시장노점,-,-,-,2,4,2,2,6,5,4,6,8
총범죄,강력범죄,유사강간,숙박업소 목욕탕,-,-,20,47,71,81,107,117,153,179,170,184
총범죄,강력범죄,유사강간,유흥접객업소,-,-,9,36,42,42,44,69,81,55,38,55
총범죄,강력범죄,유사강간,사무실,-,-,4,9,13,9,10,6,11,12,9,26
총범죄,강력범죄,유사강간,공장,-,-,-,-,-,-,-,-,1,1,1,1
총범죄,강력범죄,유사강간,공사장광산,-,-,-,-,1,1,1,2,-,-,-,1
총범죄,강력범죄,유사강간,창고,-,-,2,-,-,-,-,-,-,2,1,-
총범죄,강력범죄,유사강간,역대합실,-,-,-,-,1,-,1,-,1,-,-,-
총범죄,강력범죄,유사강간,지하철,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,기타교통수단내,-,-,6,16,12,16,22,51,20,43,32,47
총범죄,강력범죄,유사강간,흥행장,-,-,1,-,-,-,-,-,1,-,-,2
총범죄,강력범죄,유사강간,유원지,-,-,3,5,6,3,7,7,6,9,10,8
총범죄,강력범죄,유사강간,학교,-,-,2,3,19,12,10,7,14,6,8,8
총범죄,강력범죄,유사강간,금융기관,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,의료기관,-,-,2,2,5,12,5,8,10,10,12,11
총범죄,강력범죄,유사강간,종교기관,-,-,2,1,1,2,-,4,-,2,2,2
총범죄,강력범죄,유사강간,산야,-,-,1,1,6,1,1,1,1,1,1,5
총범죄,강력범죄,유사강간,해상,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,부대,-,-,-,-,-,-,-,-,1,1,-,-
총범죄,강력범죄,유사강간,구금장소,-,-,-,-,-,-,-,1,3,2,1,2
총범죄,강력범죄,유사강간,공지,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,주차장,-,-,3,12,7,10,12,14,6,7,11,7
총범죄,강력범죄,유사강간,공중화장실,-,-,5,11,18,33,11,13,19,8,9,12
총범죄,강력범죄,유사강간,PC방,-,-,2,1,-,1,-,1,1,-,1,1
총범죄,강력범죄,유사강간,기타,-,-,13,66,111,129,127,83,51,64,60,111
총범죄,강력범죄,강제추행,아파트 연립다세대,-,-,1098,902,900,887,1060,1347,1477,1492,1761,1619
총범죄,강력범죄,강제추행,단독주택,-,-,940,790,842,851,840,1053,934,1012,1096,983
총범죄,강력범죄,강제추행,고속도로,-,-,7,11,18,12,15,20,17,7,16,11
총범죄,강력범죄,강제추행,노상,-,-,4030,3324,3121,3218,3390,3071,3108,2772,2602,3098
총범죄,강력범죄,강제추행,백화점,-,-,11,9,15,9,19,32,25,25,21,34
총범죄,강력범죄,강제추행,슈퍼마켓,-,-,87,66,56,55,54,110,92,101,117,86
