대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,절도범,특가법(절도강간),중학교,중퇴,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,불취학,소계,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,초등학교,재중,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,초등학교,중퇴,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,초등학교,졸업,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,중학교,재중,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,중학교,중퇴,290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,중학교,졸업,404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,고등학교,재중,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,고등학교,중퇴,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,고등학교,졸업,751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년미만),재중,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년미만),중퇴,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년미만),졸업,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년이상),재중,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년이상),중퇴,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학(4년이상),졸업,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,대학원,소계,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,기타,소계,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,미상,소계,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도(상습),불취학,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
