대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,상해,외국인,베트남,52,64,58,77,70,78,69,69,98,96,72,90
소계,폭력범죄,상해,외국인,태국,17,12,13,10,15,67,65,30,41,26,18,20
소계,폭력범죄,상해,외국인,대만,19,28,24,23,21,20,24,16,9,9,9,5
소계,폭력범죄,상해,외국인,러시아,11,21,18,16,15,37,57,34,44,79,31,41
소계,폭력범죄,상해,외국인,방글라데시,5,3,6,8,10,9,3,8,7,11,5,3
소계,폭력범죄,상해,외국인,스리랑카,14,10,11,8,13,30,8,21,11,9,12,7
소계,폭력범죄,상해,외국인,우즈베키스탄,36,37,47,52,52,48,94,61,57,69,53,45
소계,폭력범죄,상해,외국인,인도네시아,-,3,3,5,-,19,3,11,2,7,4,2
소계,폭력범죄,상해,외국인,캐나다,16,24,18,11,20,15,4,6,6,9,3,4
소계,폭력범죄,상해,외국인,키르기스스탄,-,4,4,6,3,12,9,4,5,7,4,2
소계,폭력범죄,상해,외국인,필리핀,13,14,13,12,14,19,23,11,13,8,9,13
소계,폭력범죄,상해,외국인,파키스탄,15,16,5,10,4,7,10,9,3,10,3,-
소계,폭력범죄,상해,외국인,기타,52,54,109,74,85,131,134,118,109,133,97,98
소계,폭력범죄,폭행,한국,소계,159518,165400,163355,168048,188227,212023,206067,200199,197964,174297,142199,152643
소계,폭력범죄,폭행,외국인,소계,2264,2575,2982,3118,4081,4834,4678,4602,4746,4151,3435,3589
소계,폭력범죄,폭행,외국인,미국,169,183,199,199,213,244,235,241,231,177,187,212
소계,폭력범죄,폭행,외국인,중국,1545,1678,2011,2160,2878,3354,3065,2880,2953,2550,2003,2124
소계,폭력범죄,폭행,외국인,일본,12,19,19,20,22,23,26,30,22,13,14,15
소계,폭력범죄,폭행,외국인,몽골,132,181,169,134,191,227,221,214,226,191,159,174
소계,폭력범죄,폭행,외국인,베트남,79,86,98,92,111,151,136,173,214,233,257,226
소계,폭력범죄,폭행,외국인,태국,9,11,9,17,34,35,57,66,95,68,71,75
소계,폭력범죄,폭행,외국인,대만,60,57,58,73,61,63,74,74,45,38,47,49
소계,폭력범죄,폭행,외국인,러시아,14,26,17,30,45,80,127,121,186,147,103,105
소계,폭력범죄,폭행,외국인,방글라데시,9,12,14,10,10,11,19,12,18,19,10,11
소계,폭력범죄,폭행,외국인,스리랑카,12,24,20,27,27,27,34,30,18,23,13,14
소계,폭력범죄,폭행,외국인,우즈베키스탄,48,59,85,59,80,155,178,175,157,164,146,125
소계,폭력범죄,폭행,외국인,인도네시아,5,5,2,3,2,19,12,7,9,6,4,6
소계,폭력범죄,폭행,외국인,캐나다,25,41,49,44,70,56,67,62,57,25,27,36
소계,폭력범죄,폭행,외국인,키르기스스탄,5,7,7,7,16,5,19,16,19,18,11,10
소계,폭력범죄,폭행,외국인,필리핀,14,29,18,21,48,53,40,43,39,54,30,38
소계,폭력범죄,폭행,외국인,파키스탄,16,19,17,16,22,27,30,18,16,21,24,17
소계,폭력범죄,폭행,외국인,기타,110,138,190,206,251,304,338,440,441,404,329,352
소계,폭력범죄,체포・감금,한국,소계,964,1102,1078,1098,1209,1664,1879,1584,1612,1679,1502,1397
소계,폭력범죄,체포・감금,외국인,소계,5,11,8,20,17,23,32,24,42,16,19,35
소계,폭력범죄,체포・감금,외국인,미국,-,1,2,2,2,2,1,2,1,3,3,1
