대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,절도범죄,소계,기타친족,308,296,256,274,201,212,233,170,168,150,129,126
소계,절도범죄,소계,거래상대방,1498,1264,1315,1197,1333,1415,1605,1247,1275,1295,1145,1175
소계,절도범죄,소계,이웃,1514,1289,1162,1175,1181,1299,1367,1129,1175,1206,1153,1190
소계,절도범죄,소계,지인,2747,2346,2532,2260,2200,2202,2155,2412,2338,2141,1580,1484
소계,절도범죄,소계,타인,74105,76396,78544,75549,79751,82746,81898,69340,72746,73966,68361,75025
소계,절도범죄,소계,기타,12893,8283,4770,2362,4729,4329,3633,2273,2224,2476,2909,3585
소계,절도범죄,소계,미상,10032,7379,7263,7391,8301,8890,9880,17156,18192,14253,8259,9519
소계,폭력범죄,소계,국가,239,469,309,321,522,451,311,309,263,296,107,227
소계,폭력범죄,소계,공무원,484,546,424,411,294,261,280,240,205,183,121,128
소계,폭력범죄,소계,고용자,1455,1044,856,838,970,853,724,646,583,578,447,403
소계,폭력범죄,소계,피고용자,1068,1225,1006,899,839,856,899,796,710,737,500,494
소계,폭력범죄,소계,직장동료,8559,9416,9077,8570,8604,8185,7922,7252,6620,5831,5130,5166
소계,폭력범죄,소계,친구,10363,12731,9584,9259,9319,9792,9835,7006,7346,6069,5913,6239
소계,폭력범죄,소계,애인,8256,8636,8203,7828,9078,11016,10326,9372,9210,8197,8593,9338
소계,폭력범죄,소계,동거친족,9287,11005,13373,13801,27127,30772,27689,28919,35073,31265,36424,35340
소계,폭력범죄,소계,기타친족,4291,4707,4307,4326,5462,5904,5289,5281,5587,5335,5447,5589
소계,폭력범죄,소계,거래상대방,4537,5454,4898,4943,4151,4069,3888,3472,3198,2802,2433,2298
소계,폭력범죄,소계,이웃,13366,14246,12526,12021,10782,10690,9881,9272,9235,9061,8345,7423
소계,폭력범죄,소계,지인,17000,19488,17550,17466,16589,15956,15157,19696,19780,18552,15284,15252
소계,폭력범죄,소계,타인,164143,178771,165195,159915,146312,142068,137163,121262,117725,110442,93151,101611
소계,폭력범죄,소계,기타,41628,26522,18621,8509,12316,12119,9067,8393,7703,7502,8352,8473
소계,폭력범죄,소계,미상,107366,106022,103984,109168,120358,127973,125080,127053,123323,107140,73982,76692
소계,폭력범죄,상해,국가,-,-,-,-,2,-,12,11,15,16,4,10
소계,폭력범죄,상해,공무원,106,117,73,55,52,45,59,31,39,30,22,20
소계,폭력범죄,상해,고용자,378,316,221,212,216,247,162,154,113,111,84,71
소계,폭력범죄,상해,피고용자,404,442,338,274,276,275,285,198,154,123,94,91
소계,폭력범죄,상해,직장동료,4224,4760,4350,3894,3826,3972,3745,3133,2686,2316,1922,1628
소계,폭력범죄,상해,친구,3386,3785,3102,2949,3117,3483,3310,2494,2375,1915,1902,1787
소계,폭력범죄,상해,애인,3073,3017,2566,2270,2313,2906,2573,2368,2128,1970,1870,1781
소계,폭력범죄,상해,동거친족,3421,3853,3807,3730,4603,5212,4778,4555,4905,4037,3673,3163
소계,폭력범죄,상해,기타친족,1498,1649,1386,1312,1324,1591,1290,1299,1200,1170,1017,901
소계,폭력범죄,상해,거래상대방,1297,1598,1142,1051,898,823,691,559,492,406,310,263
소계,폭력범죄,상해,이웃,5105,5499,4515,3922,3389,3404,2898,2454,2176,2216,1732,1395
소계,폭력범죄,상해,지인,6553,7655,6350,5915,5519,6082,5512,6693,6357,5836,4822,4433
소계,폭력범죄,상해,타인,40847,44604,37260,34453,29850,30111,27011,22019,19981,17813,14053,13660
소계,폭력범죄,상해,기타,11185,1460,4533,1623,1789,2407,1754,1500,1240,1173,1072,999
소계,폭력범죄,상해,미상,7661,6095,5563,5225,4885,5137,4771,5399,4993,4420,3011,2996
소계,폭력범죄,폭행,국가,2,2,-,-,1,-,5,32,7,10,-,10
소계,폭력범죄,폭행,공무원,166,223,221,201,123,125,139,116,104,73,53,70
소계,폭력범죄,폭행,고용자,279,273,222,233,301,276,269,263,246,230,182,178
소계,폭력범죄,폭행,피고용자,350,347,356,326,315,390,442,397,352,291,210,218
소계,폭력범죄,폭행,직장동료,2160,2282,2370,2554,2636,3228,3261,3347,3126,2750,2510,2813
소계,폭력범죄,폭행,친구,1808,2477,2352,2390,2757,3604,3611,2476,2605,2219,2117,2452
소계,폭력범죄,폭행,애인,2638,2832,2859,2719,3680,5069,4623,4073,3977,3280,3639,4289
소계,폭력범죄,폭행,동거친족,3655,4418,6032,6390,16204,20332,18115,18906,22378,19721,24474,23996
