죄종별(1),죄종별(2),죄종별(3),범죄발생시간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,지능범죄,직권남용,09:00~11:59,41,43,60,85,98,76,92,123,135,145,79,127
총범죄,지능범죄,직권남용,12:00~14:59,11,29,25,33,28,44,48,60,48,64,49,77
총범죄,지능범죄,직권남용,15:00~17:59,9,17,19,19,29,29,37,26,40,38,31,51
총범죄,지능범죄,직권남용,18:00~20:59,9,6,17,15,18,20,26,24,26,26,40,56
총범죄,지능범죄,직권남용,21:00~23:59,3,11,26,17,24,33,25,20,15,22,29,43
총범죄,지능범죄,직권남용,미상,128,149,154,167,175,198,235,316,379,397,622,1388
총범죄,지능범죄,증수뢰,00:00~02:59,7,2,1,2,-,3,-,4,-,-,-,-
총범죄,지능범죄,증수뢰,03:00~05:59,1,1,0,-,-,1,1,-,-,-,-,-
총범죄,지능범죄,증수뢰,06:00~08:59,4,1,1,4,1,3,-,3,2,3,1,-
총범죄,지능범죄,증수뢰,09:00~11:59,54,84,40,27,27,37,43,76,25,25,13,18
총범죄,지능범죄,증수뢰,12:00~14:59,35,37,17,14,13,13,24,28,11,14,13,11
총범죄,지능범죄,증수뢰,15:00~17:59,25,22,15,11,6,11,13,10,6,15,11,7
총범죄,지능범죄,증수뢰,18:00~20:59,51,8,7,17,16,11,19,12,8,8,10,6
총범죄,지능범죄,증수뢰,21:00~23:59,44,2,11,5,5,8,5,1,4,4,7,1
총범죄,지능범죄,증수뢰,미상,365,200,161,171,179,173,207,213,204,220,347,277
총범죄,지능범죄,통화,00:00~02:59,359,51,28,25,18,18,8,8,9,2,5,4
총범죄,지능범죄,통화,03:00~05:59,31,36,21,28,21,17,19,1,9,6,9,-
총범죄,지능범죄,통화,06:00~08:59,100,142,45,83,58,49,89,28,27,18,7,14
총범죄,지능범죄,통화,09:00~11:59,2039,2018,819,554,334,339,558,211,183,95,62,83
총범죄,지능범죄,통화,12:00~14:59,454,777,335,273,187,157,291,114,115,67,50,57
총범죄,지능범죄,통화,15:00~17:59,603,590,301,246,179,174,306,117,95,65,50,52
총범죄,지능범죄,통화,18:00~20:59,208,209,157,146,86,89,97,37,41,19,19,17
총범죄,지능범죄,통화,21:00~23:59,115,133,69,81,50,48,55,11,22,17,9,10
총범죄,지능범죄,통화,미상,3991,4247,2099,1334,889,920,1371,667,479,337,165,215
총범죄,지능범죄,문서・인장,00:00~02:59,485,193,177,162,201,215,190,152,174,147,98,87
총범죄,지능범죄,문서・인장,03:00~05:59,80,127,97,114,143,151,134,151,134,82,31,70
총범죄,지능범죄,문서・인장,06:00~08:59,59,65,77,63,118,85,159,131,63,74,75,104
총범죄,지능범죄,문서・인장,09:00~11:59,2582,2364,2848,2917,2866,2525,2438,2636,1688,1547,1045,953
총범죄,지능범죄,문서・인장,12:00~14:59,844,994,1088,1072,1073,992,1672,1139,747,739,601,705
총범죄,지능범죄,문서・인장,15:00~17:59,508,538,662,546,566,528,603,410,464,434,384,500
총범죄,지능범죄,문서・인장,18:00~20:59,324,359,340,299,402,392,306,306,275,292,248,335
총범죄,지능범죄,문서・인장,21:00~23:59,285,432,355,325,385,469,436,365,290,251,157,236
총범죄,지능범죄,문서・인장,미상,9781,9321,9741,8943,8792,7938,6514,7000,7508,7967,7833,8269
총범죄,지능범죄,유가증권인지,00:00~02:59,29,10,6,3,-,-,2,1,-,-,-,-
총범죄,지능범죄,유가증권인지,03:00~05:59,4,5,8,-,3,3,2,1,1,2,1,-
총범죄,지능범죄,유가증권인지,06:00~08:59,7,2,4,2,-,-,1,1,2,2,-,-
총범죄,지능범죄,유가증권인지,09:00~11:59,109,86,93,71,58,50,50,37,27,10,10,10
총범죄,지능범죄,유가증권인지,12:00~14:59,50,41,38,28,33,24,21,14,9,9,10,12
총범죄,지능범죄,유가증권인지,15:00~17:59,52,24,19,17,18,5,17,14,15,2,4,3
총범죄,지능범죄,유가증권인지,18:00~20:59,30,19,13,9,10,4,7,3,7,1,-,2
총범죄,지능범죄,유가증권인지,21:00~23:59,30,13,10,4,1,-,-,3,2,1,3,-
총범죄,지능범죄,유가증권인지,미상,492,308,265,226,159,133,117,123,77,57,35,31
총범죄,지능범죄,사기,00:00~02:59,11367,5149,6470,5636,5435,5252,5437,5374,5443,5714,3120,4336
총범죄,지능범죄,사기,03:00~05:59,3867,4034,4301,3974,3870,3886,3834,3915,3949,4082,2174,2795
총범죄,지능범죄,사기,06:00~08:59,2047,2315,2423,2447,2687,2794,2844,2755,3056,3688,2863,3334
총범죄,지능범죄,사기,09:00~11:59,33328,39296,45224,40455,42233,41443,41906,38319,39184,40259,29237,26382
총범죄,지능범죄,사기,12:00~14:59,11286,22459,25096,22625,23620,24374,25422,28345,30405,35958,35945,36690
총범죄,지능범죄,사기,15:00~17:59,11804,13987,17617,15829,16566,16628,16567,20807,21648,29232,31982,34788
총범죄,지능범죄,사기,18:00~20:59,7232,8323,11586,10733,11737,11863,11251,12481,13930,18638,16599,21248
총범죄,지능범죄,사기,21:00~23:59,7581,8483,10387,9729,10452,10968,10811,11279,12387,13541,10378,14830
총범죄,지능범죄,사기,미상,134958,131320,145978,126981,130693,124405,113417,146754,174470,196563,161777,181445
