대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,폭력행위등,우발적,54270,52784,45785,40628,34716,19123,17367,15349,14136,12337,10203,10898
소계,폭력범죄,폭력행위등,현실불만,1834,1879,1672,1273,1055,511,332,332,205,198,127,160
소계,폭력범죄,폭력행위등,부주의,1394,1319,1127,1056,972,476,443,341,303,221,259,297
소계,폭력범죄,폭력행위등,기타,24449,29067,23760,21935,20803,11805,10580,7021,6087,5740,4886,5170
소계,폭력범죄,폭력행위등,미상,14875,13655,12632,11563,11105,6995,6282,7549,6733,5598,3793,3746
소계,폭력범죄,공갈,이욕,1033,1640,777,915,751,953,980,714,760,762,684,614
소계,폭력범죄,공갈,사행심,67,116,47,63,39,66,43,57,93,68,59,63
소계,폭력범죄,공갈,보복,-,1,4,5,1,-,2,2,1,2,-,1
소계,폭력범죄,공갈,가정불화,11,1,4,6,6,6,19,5,7,6,14,9
소계,폭력범죄,공갈,호기심,48,51,41,21,33,22,39,7,19,23,25,30
소계,폭력범죄,공갈,유혹,33,51,27,28,13,20,24,22,20,13,7,12
소계,폭력범죄,공갈,우발적,603,969,536,559,354,480,478,387,390,483,441,495
소계,폭력범죄,공갈,현실불만,37,76,41,60,12,38,30,20,14,20,19,25
소계,폭력범죄,공갈,부주의,39,53,50,92,54,40,57,33,28,35,36,28
소계,폭력범죄,공갈,기타,1082,1769,939,1069,817,1038,941,724,688,719,679,612
소계,폭력범죄,공갈,미상,833,728,723,856,850,975,960,1550,1532,1303,811,865
소계,폭력범죄,손괴,이욕,851,815,601,231,281,293,315,285,261,321,312,290
소계,폭력범죄,손괴,사행심,14,17,16,18,9,16,12,28,29,43,30,28
소계,폭력범죄,손괴,보복,6,8,8,8,9,15,11,16,17,27,16,14
소계,폭력범죄,손괴,가정불화,318,346,433,435,1370,2082,1867,1731,2358,2185,2122,1826
소계,폭력범죄,손괴,호기심,34,61,55,58,108,127,118,57,64,132,179,177
소계,폭력범죄,손괴,유혹,16,11,8,7,13,11,8,10,11,8,10,7
소계,폭력범죄,손괴,우발적,15324,15196,14716,14803,14720,15199,15278,17528,19299,18945,17588,18498
소계,폭력범죄,손괴,현실불만,891,873,807,848,698,830,819,623,592,573,461,406
소계,폭력범죄,손괴,부주의,727,817,828,914,908,1096,1086,929,942,941,905,843
소계,폭력범죄,손괴,기타,6948,8068,8275,8666,8966,10042,9749,7810,7426,7887,7482,7639
소계,폭력범죄,손괴,미상,3620,3419,3548,3919,4667,5284,5637,6673,7439,7654,6739,7131
소계,지능범죄,소계,이욕,39033,34206,39340,42576,50067,51185,52625,56411,63060,64987,51130,51004
소계,지능범죄,소계,사행심,2641,3059,3058,2893,2895,3072,2966,4480,4979,4731,3668,3795
소계,지능범죄,소계,보복,46,20,13,25,16,1,5,2,3,-,1,4
