대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,소계,안산시,130,192,227,209,213,193,180,279,291,331,258,241,248,251,305,303,404
형법범,강력범,소계,진주시,85,64,89,88,111,104,102,103,69,88,76,96,96,83,121,116,156
형법범,강력범,소계,고양시,66,60,76,86,152,116,169,170,187,227,198,255,264,271,408,267,361
형법범,강력범,소계,제주시,153,134,166,129,134,162,151,142,152,161,241,233,225,195,222,239,364
형법범,강력범,소계,목포시,69,56,69,90,76,103,88,73,99,126,128,98,104,87,88,105,143
형법범,강력범,소계,의정부시,93,65,68,69,58,77,106,106,126,164,161,156,184,171,186,174,216
형법범,강력범,소계,익산시,-,-,-,86,70,88,105,119,108,77,75,84,78,103,105,121,123
형법범,강력범,소계,이리시,83,59,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,강력범,소계,군산시,56,66,65,73,57,74,76,73,44,67,59,62,74,75,79,92,121
형법범,강력범,소계,구미시,91,56,67,110,124,140,122,118,123,131,132,158,120,123,112,140,211
형법범,강력범,소계,천안시,68,64,91,88,132,107,130,136,103,158,142,177,419,209,282,280,326
형법범,강력범,소계,여수시,72,58,56,63,88,98,71,57,76,77,72,72,64,84,83,69,146
형법범,강력범,소계,춘천시,58,91,55,74,89,71,82,57,66,69,83,80,71,80,93,102,138
형법범,강력범,소계,원주시,44,56,72,84,88,85,108,81,67,58,77,108,97,94,114,107,178
형법범,강력범,소계,평택시,-,-,-,425,212,126,105,122,102,149,125,127,119,153,135,163,179
형법범,강력범,소계,경주시,-,-,-,326,126,69,63,69,69,63,87,69,75,68,78,99,175
형법범,강력범,소계,김해시,-,-,-,57,88,94,142,79,95,109,111,135,144,151,121,123,206
형법범,강력범,소계,순천시,-,-,-,66,129,83,85,82,68,150,109,93,115,64,90,87,145
형법범,강력범,소계,군포시,-,-,-,7,10,45,69,70,62,75,61,38,75,56,75,80,121
형법범,강력범,소계,남양주시,-,-,-,88,103,113,109,84,81,83,84,93,89,83,101,113,152
형법범,강력범,소계,강릉시,-,-,-,33,72,84,96,73,66,79,70,49,60,57,82,83,121
형법범,강력범,소계,충주시,-,-,-,1,4,56,63,44,46,77,47,40,62,50,57,59,89
형법범,강력범,소계,안동시,-,-,-,17,40,47,44,41,33,47,50,35,57,48,49,61,69
형법범,강력범,소계,경산시,-,-,-,4,10,34,43,43,64,43,48,48,61,63,78,90,117
형법범,강력범,소계,아산시,-,-,-,56,65,59,75,67,58,62,56,48,95,67,63,41,80
형법범,강력범,소계,거제시,-,-,-,34,37,39,52,52,52,25,50,64,49,65,54,65,86
형법범,강력범,소계,김천시,-,-,-,28,24,31,31,22,16,32,37,37,26,23,26,31,47
형법범,강력범,소계,정읍시,-,-,-,10,31,40,35,25,25,13,28,18,35,24,31,20,46
형법범,강력범,소계,용인시,-,-,-,-,-,-,-,-,-,-,92,130,131,132,154,196,229
형법범,강력범,소계,시흥시,-,-,-,-,-,-,-,-,-,-,169,155,123,160,175,217,223
형법범,강력범,소계,파주시,-,-,-,-,-,-,-,-,-,-,58,77,76,71,96,114,107
형법범,강력범,소계,양산시,-,-,-,-,-,-,-,-,-,-,52,52,47,46,64,54,119
형법범,강력범,소계,이천시,-,-,-,-,-,-,-,-,-,-,61,55,55,59,49,60,99
형법범,강력범,소계,구리시,-,-,-,-,-,-,-,-,-,-,70,83,101,95,97,109,135
형법범,강력범,소계,서산시,-,-,-,-,-,-,-,-,-,-,28,24,29,30,46,31,65
형법범,강력범,소계,제천시,-,-,-,-,-,-,-,-,-,-,44,39,47,101,37,43,62
형법범,강력범,소계,논산시,-,-,-,-,-,-,-,-,-,-,36,41,40,36,36,39,58
형법범,강력범,소계,기타도시,1064,1077,1289,726,1121,1113,931,869,824,877,895,943,1007,1004,1201,1263,1639
형법범,강력범,소계,도시이외,2206,1484,1567,1146,1430,1346,1220,1081,906,974,1007,920,979,927,1045,1046,1630
형법범,강력범,소계,기타,3,-,4,-,1,75,384,516,453,564,-,-,-,-,-,-,-
형법범,강력범,살인,서울특별시,127,139,139,138,134,165,160,204,169,167,230,216,197,217,218,248,291
형법범,강력범,살인,부산광역시,60,42,44,78,97,116,115,123,76,100,110,98,117,84,110,162,127
형법범,강력범,살인,대구광역시,20,21,33,43,48,45,37,33,31,30,41,42,46,33,34,70,47
형법범,강력범,살인,인천광역시,16,30,34,38,50,52,329,38,41,56,45,42,64,65,57,73,65
형법범,강력범,살인,광주광역시,16,19,21,22,33,23,218,30,36,35,28,37,24,26,19,32,33
형법범,강력범,살인,대전광역시,18,17,14,20,38,23,300,24,40,35,41,26,39,46,30,53,41
