대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
형법범,폭력범죄,약취・유인,외국,-,1,2,2,-,-,1,-,1,2,2,2
형법범,폭력범죄,약취・유인,기타,100,59,72,53,55,55,35,38,52,51,37,44
형법범,폭력범죄,약취・유인,미상,98,75,91,73,89,89,89,80,139,116,88,130
형법범,폭력범죄,폭력행위등,소계,103423,106256,89858,80113,73002,40963,36647,31885,28625,25342,20526,21426
형법범,폭력범죄,폭력행위등,자기집,24204,27653,24071,22946,22313,14198,13739,12912,11956,11174,9902,10375
형법범,폭력범죄,폭력행위등,공범집,51,58,61,76,45,45,34,35,29,24,25,11
형법범,폭력범죄,폭력행위등,애인집,69,74,76,36,56,29,21,27,21,25,16,8
형법범,폭력범죄,폭력행위등,친족집,64,89,62,91,86,35,22,25,27,13,16,34
형법범,폭력범죄,폭력행위등,지인집,230,231,213,203,190,141,106,149,121,87,91,80
형법범,폭력범죄,폭력행위등,숙박업소,309,349,284,274,307,131,144,116,130,76,60,95
형법범,폭력범죄,폭력행위등,야외,788,636,578,449,384,230,214,211,206,179,112,134
형법범,폭력범죄,폭력행위등,현장검거,37580,37242,32295,28086,23370,11344,9452,6921,5519,4030,2656,2716
형법범,폭력범죄,폭력행위등,외국,37,53,45,25,23,17,22,11,15,11,6,5
형법범,폭력범죄,폭력행위등,기타,25191,26199,19529,16371,15144,7809,6656,5734,5138,4755,3851,4228
형법범,폭력범죄,폭력행위등,미상,14900,13672,12644,11556,11084,6984,6237,5744,5463,4968,3791,3740
형법범,폭력범죄,공갈,소계,3786,5455,3189,3674,2930,3638,3573,3521,3552,3434,2775,2754
형법범,폭력범죄,공갈,자기집,1285,2279,1165,1485,1133,1402,1579,1490,1494,1463,1262,1281
형법범,폭력범죄,공갈,공범집,3,1,3,1,2,1,1,8,7,4,-,-
형법범,폭력범죄,공갈,애인집,5,8,6,8,8,15,12,8,5,8,6,3
형법범,폭력범죄,공갈,친족집,8,6,4,8,11,4,3,5,4,10,6,6
형법범,폭력범죄,공갈,지인집,12,26,15,20,9,16,21,28,28,19,11,12
형법범,폭력범죄,공갈,숙박업소,29,59,22,32,29,32,19,47,87,58,43,25
형법범,폭력범죄,공갈,야외,73,69,23,36,25,41,35,25,41,29,25,24
형법범,폭력범죄,공갈,현장검거,330,371,213,238,169,243,193,128,141,122,89,68
형법범,폭력범죄,공갈,외국,6,3,4,2,3,5,6,-,6,5,-,3
형법범,폭력범죄,공갈,기타,1203,1899,1011,989,693,904,746,689,674,591,526,466
형법범,폭력범죄,공갈,미상,832,734,723,855,848,975,958,1093,1065,1125,807,866
형법범,폭력범죄,손괴,소계,28749,29631,29295,29907,31749,34995,34900,35690,38438,38716,35844,36859
형법범,폭력범죄,손괴,자기집,6987,7741,8426,9234,10660,12605,13281,14231,16422,17796,17397,18220
형법범,폭력범죄,손괴,공범집,1,5,13,7,5,5,4,5,6,-,3,1
형법범,폭력범죄,손괴,애인집,17,15,19,20,28,40,40,56,46,40,56,54
형법범,폭력범죄,손괴,친족집,23,21,26,33,41,64,61,60,85,92,76,99
형법범,폭력범죄,손괴,지인집,38,41,50,40,77,101,106,109,93,121,115,113
형법범,폭력범죄,손괴,숙박업소,50,68,79,74,91,98,125,110,107,128,121,131
형법범,폭력범죄,손괴,야외,91,87,123,100,98,149,170,158,182,182,186,144
형법범,폭력범죄,손괴,현장검거,11863,11612,10991,10497,10318,10525,9678,8923,8252,6686,5242,5239
형법범,폭력범죄,손괴,외국,4,7,8,5,5,4,6,4,7,4,4,4
형법범,폭력범죄,손괴,기타,6061,6608,6013,5980,5757,6122,5808,5738,6278,6272,5926,5729
형법범,폭력범죄,손괴,미상,3614,3426,3547,3917,4669,5282,5621,6296,6960,7395,6718,7125
형법범,지능범죄,소계,소계,329399,280243,304025,286099,294379,287025,269117,292114,308782,307706,210381,219700
형법범,지능범죄,소계,자기집,64554,63040,68243,68614,72734,74519,76354,85295,96966,96814,74346,73582
형법범,지능범죄,소계,공범집,91,68,85,71,99,88,92,113,78,160,95,75
형법범,지능범죄,소계,애인집,204,177,247,305,436,491,590,610,493,529,420,509
형법범,지능범죄,소계,친족집,374,358,466,485,615,718,645,659,599,572,418,456
형법범,지능범죄,소계,지인집,817,864,989,969,1366,1504,1643,1655,1595,1484,1096,1196
형법범,지능범죄,소계,숙박업소,1469,1504,1910,2030,2510,2660,2614,3283,3467,3580,2775,2627
형법범,지능범죄,소계,야외,663,572,546,548,592,630,613,690,749,816,589,570
형법범,지능범죄,소계,현장검거,7010,7121,7435,6864,9074,8917,8183,7877,7419,6196,3730,3925
형법범,지능범죄,소계,외국,577,466,537,523,561,608,569,637,611,436,264,349
형법범,지능범죄,소계,기타,56596,55492,57102,59472,59070,55155,47506,47453,51355,50955,39435,41230
형법범,지능범죄,소계,미상,197044,150581,166465,146218,147322,141735,130308,143842,145450,146164,87213,95181
형법범,지능범죄,직무유기,소계,669,823,802,801,860,642,663,713,788,947,810,834
형법범,지능범죄,직무유기,자기집,109,105,114,90,97,79,79,60,61,50,67,37
