죄종별(1),죄종별(2),죄종별(3),범죄발생요일별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,특별경제범죄,소계,금요일,11145,12671,11527,11312,13090,10401,8342,9005,8502,7847,6589,8034
총범죄,특별경제범죄,소계,목요일,10916,12492,11006,10981,13451,10365,8576,8730,8432,7603,6774,8176
총범죄,특별경제범죄,소계,수요일,10956,12091,10651,11536,13872,10292,8558,8728,8477,7757,6654,8006
총범죄,특별경제범죄,소계,월요일,11507,12853,12199,11928,13867,10131,8486,8830,8724,8167,7098,7994
총범죄,특별경제범죄,소계,일요일,5467,7200,6609,7461,8919,6113,5379,4589,3948,3883,2996,3828
총범죄,특별경제범죄,소계,토요일,6806,8342,7450,7984,9365,6780,5505,5332,4709,4539,3552,4485
총범죄,특별경제범죄,소계,화요일,11229,12506,11577,11706,13765,10943,8510,8780,8608,8030,7045,8092
총범죄,폭력범죄,공갈,금요일,724,1043,724,743,548,548,633,593,756,759,722,1001
총범죄,폭력범죄,공갈,목요일,774,1016,664,713,546,566,668,656,744,781,780,1026
총범죄,폭력범죄,공갈,수요일,752,953,585,683,495,546,648,604,757,820,789,1079
총범죄,폭력범죄,공갈,월요일,780,957,682,705,532,549,622,685,818,915,877,1207
총범죄,폭력범죄,공갈,일요일,727,809,490,563,439,413,518,457,483,538,552,667
총범죄,폭력범죄,공갈,토요일,769,934,573,673,457,550,508,457,549,583,567,753
총범죄,폭력범죄,공갈,화요일,713,986,592,782,579,573,555,644,740,885,844,1171
총범죄,폭력범죄,상해,금요일,9828,9077,7995,7236,6932,7161,6357,5628,5270,4785,4165,3947
총범죄,폭력범죄,상해,목요일,9502,8869,7764,7013,6566,6770,5923,5396,5110,4533,3931,3584
총범죄,폭력범죄,상해,수요일,9163,8754,7819,6888,6668,6853,6219,5395,5038,4488,3988,3567
총범죄,폭력범죄,상해,월요일,8848,8159,7402,6537,6318,6594,5882,5326,4908,4431,4025,3655
총범죄,폭력범죄,상해,일요일,9933,9006,8173,7462,7187,7820,7070,6105,5693,4926,3983,4124
총범죄,폭력범죄,상해,토요일,10360,9563,8703,7928,7561,7944,6939,6267,5776,5106,4446,4240
총범죄,폭력범죄,상해,화요일,9572,8914,8028,7217,6773,6886,6221,5649,5063,4635,3915,3689
총범죄,폭력범죄,소계,금요일,45282,45433,42296,42107,43768,44580,41918,41040,41198,38614,34121,35716
총범죄,폭력범죄,소계,목요일,42717,42707,39997,39506,41579,41575,39162,38576,39086,36065,31739,33329
총범죄,폭력범죄,소계,수요일,42204,42602,40144,39639,41723,41931,39632,38608,38905,36525,31823,33337
총범죄,폭력범죄,소계,월요일,40418,39735,38061,36973,39167,39421,37706,37497,38034,34826,32003,33005
총범죄,폭력범죄,소계,일요일,47622,47711,44559,44493,47819,49257,47177,45412,45295,40886,33800,37058
총범죄,폭력범죄,소계,토요일,50368,50958,48322,47646,50279,51243,48150,47133,46842,42746,37214,39640
총범죄,폭력범죄,소계,화요일,43334,43433,40809,39715,41612,41387,39341,39345,38553,36106,31961,33201
총범죄,폭력범죄,손괴,금요일,9063,9100,8511,8858,8603,8839,8326,8591,8788,8723,8104,8538
총범죄,폭력범죄,손괴,목요일,8065,8106,7905,7914,7981,7990,7674,7514,7989,7901,7529,7679
총범죄,폭력범죄,손괴,수요일,8267,8062,7740,7899,8169,7949,7507,7681,7766,7954,7367,7684
총범죄,폭력범죄,손괴,월요일,8125,7862,7586,7469,7654,7787,7439,7452,7974,7829,7561,7718
총범죄,폭력범죄,손괴,일요일,9219,9136,8529,8446,8864,8865,8519,8479,8617,8589,7633,8251
총범죄,폭력범죄,손괴,토요일,10386,10202,9645,9652,9810,9723,9311,9200,9378,9311,8605,9144
총범죄,폭력범죄,손괴,화요일,8319,8244,7897,7759,7896,7974,7507,7767,7634,7884,7389,7612
총범죄,폭력범죄,약취・유인,금요일,41,32,26,27,32,29,31,26,40,32,33,51
총범죄,폭력범죄,약취・유인,목요일,35,24,28,34,30,17,27,30,32,35,41,40
총범죄,폭력범죄,약취・유인,수요일,36,31,29,32,27,36,39,26,34,40,39,50
총범죄,폭력범죄,약취・유인,월요일,51,32,39,27,33,30,26,34,40,31,39,46
총범죄,폭력범죄,약취・유인,일요일,26,27,23,26,23,28,19,29,27,23,25,30
