죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,소계,어업자원보호,1,3,-,-,-,2,2,-,-,1,-,-,-,-,-,-,-
특별법범,소계,어업자원보호법,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
특별법범,소계,여객자동차운수사업법,-,-,-,-,-,-,-,-,-,-,1176,602,606,665,738,1688,1285
특별법범,소계,여권법,23,23,40,65,72,56,77,151,167,144,186,130,83,138,63,54,45
특별법범,소계,여신전문금융업법위반,-,-,-,2038,2371,1412,2445,4518,6558,6207,4263,2597,2556,2197,2215,2876,2432
특별법범,소계,영해 및 접속수역법,-,-,-,-,-,-,-,-,-,-,43,39,18,23,11,16,35
특별법범,소계,영화 및 비디오물의 진흥에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,10,323,239,296,133
특별법범,소계,오물청소법,1,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,소계,오수·분뇨 및 축산폐수의 처리에 관한 법률,230,493,573,483,377,412,977,740,847,850,709,453,446,641,11,2,727
특별법범,소계,옥외광고물등관리법,-,-,-,-,-,-,-,-,-,-,850,480,812,1120,1374,979,657
특별법범,소계,외국환거래법,-,-,-,-,-,-,-,-,-,-,596,1017,514,1358,1680,3091,434
특별법범,소계,외환관리법,1489,641,348,364,404,166,12,9,7,3,-,-,-,-,-,-,-
특별법범,소계,용역경비업법,7,6,9,12,10,15,-,-,1,-,-,-,-,-,-,-,-
특별법범,소계,유기장업법,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,유사수신행위의 규제에 관한 법률,-,-,-,-,-,-,-,-,-,-,306,317,435,485,745,1635,438
특별법범,소계,유선 및 도선사업법,-,-,-,-,-,-,-,-,-,-,-,-,-,863,358,1666,1479
특별법범,소계,유선 및 도선업법,319,315,334,265,149,905,425,249,116,534,165,1340,1849,-,-,-,-
특별법범,소계,유해화학물질관리법,1823,2515,2926,2668,1980,1518,1378,1184,1007,700,187,150,90,440,158,721,111
특별법범,소계,유해화학물질관리법(본드등),112,291,254,92,37,26,15,21,26,20,-,-,-,-,-,-,-
특별법범,소계,유해화학물질관리법(환각물질흡입등),-,-,-,-,-,-,-,-,-,-,522,488,534,568,549,590,1
특별법범,소계,윤락행위등방지법,467,396,633,931,1188,1688,2571,3867,3354,3278,2870,327,52,18,2,6,-
특별법범,소계,음반 및 비디오물에 관한 법률,972,1052,1416,1293,1184,2052,1295,401,441,524,19868,15257,-,-,-,-,-
특별법범,소계,음반·비디오물 및 게임물에 관한법률,-,-,-,-,-,-,-,-,-,-,-,-,26894,1902,79,46,19
특별법범,소계,음반에관한법률,62,35,30,29,12,263,296,101,24,39,-,-,-,-,-,-,-
특별법범,소계,음악산업진흥에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,1080,7294,8745,10067,9169
특별법범,소계,의료기기법,-,-,-,-,-,-,-,-,-,-,72,505,317,343,426,410,490
특별법범,소계,의료법,366,329,292,358,306,826,904,1051,1137,1471,2023,1685,1623,1590,1641,2568,2000
특별법범,소계,의료보험법,4,4,4,4,6,8,4,1,1,-,-,-,-,-,-,-,-
특별법범,소계,의장법,196,192,162,274,263,352,296,287,292,263,278,192,33,9,1,1,-
특별법범,소계,이용사 및 미용사법,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,인장업법,61,64,47,47,49,19,9,2,4,1,-,-,-,-,-,-,-
특별법범,소계,자동차관리법,37125,32560,32405,24112,34593,47433,39912,52324,28142,14258,15743,15265,13401,14008,22106,29601,16857
특별법범,소계,자동차손해배상보장법,-,-,-,-,-,-,-,-,-,-,332,225,189,212,422,553,1084
특별법범,소계,자동차운수사업법,1196,982,1130,1322,739,161,53,35,18,28,5,-,-,-,-,-,-
특별법범,소계,자연공원법,-,-,-,-,-,-,-,-,-,-,243,240,244,311,285,162,130
특별법범,소계,자연환경보전법,6,2,21,6,2,15,44,32,13,20,21,2,1,3,-,1,1
특별법범,소계,장사등에 관한 법률,-,-,-,-,-,-,-,-,-,-,164,158,133,186,103,158,132
특별법범,소계,저작권법,4582,5937,6257,6333,6555,7800,6914,6450,7706,8033,10140,10865,13114,20333,78526,59111,18733
특별법범,소계,전기통신기본법,-,-,-,-,-,-,-,-,-,-,18,16,5,4,18,15,97
특별법범,소계,전기통신사업법,-,-,-,-,-,-,-,-,-,-,163,120,49,147,34,36,42
특별법범,소계,전당포영업법,3,5,5,6,3,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,전염병예방법,-,-,-,-,-,-,-,-,-,-,360,110,56,46,67,57,124
특별법범,소계,전투경찰대설치법,159,99,137,132,156,129,106,130,114,93,132,78,62,61,56,25,19
특별법범,소계,전파관리법,16,11,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-
특별법범,소계,전파법,-,-,-,-,-,-,-,-,-,-,89,86,39,37,7,49,60
특별법범,소계,정보통신망 이용촉진 및 정보보호등에 관한 법률,-,-,-,-,-,-,-,-,-,-,4325,5188,7455,10765,12740,12396,16990
특별법범,소계,조세범처벌법,258,126,296,1327,1424,2781,1209,1585,2310,2906,5850,6548,7270,4926,3840,3514,3500
특별법범,소계,조수보호 및 수렵에 관한 법률,243,210,344,190,158,245,419,519,542,505,509,327,8,5,1,-,-
특별법범,소계,주민등록법,198,280,247,575,373,199,128,189,347,281,365,1121,997,1459,1624,2047,2110
특별법범,소계,주차장법,909,882,535,666,924,957,824,1002,807,1228,1177,789,754,530,502,259,259
특별법범,소계,주택건설촉진법,-,-,-,-,-,-,-,-,-,-,317,18,8,4,3,-,-
