대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,폭발물에 관한 죄,이욕,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2
형법범,기타형법범,폭발물에 관한 죄,가정불화,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,폭발물에 관한 죄,호기심,-,-,-,-,-,-,-,3,-,-,-,1,-,-,5,-,-
형법범,기타형법범,폭발물에 관한 죄,우발적,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,1
형법범,기타형법범,폭발물에 관한 죄,현실불만,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1
형법범,기타형법범,폭발물에 관한 죄,기타,-,-,-,1,-,-,-,2,-,-,-,1,-,1,3,-,-
형법범,기타형법범,공무방해에 관한 죄,이욕,513,519,682,698,750,828,683,702,663,682,92,144,100,176,247,147,1566
형법범,기타형법범,공무방해에 관한 죄,사행심,19,33,44,42,36,31,5,4,5,1,18,10,12,15,30,39,3
형법범,기타형법범,공무방해에 관한 죄,보복,52,53,51,54,45,51,58,88,67,68,64,66,77,84,8,4,46
형법범,기타형법범,공무방해에 관한 죄,가정불화,15,12,14,13,18,19,27,26,17,20,35,20,42,47,41,34,43
형법범,기타형법범,공무방해에 관한 죄,호기심,12,9,28,41,37,9,8,41,29,14,23,8,37,24,16,11,6
형법범,기타형법범,공무방해에 관한 죄,유혹,7,16,16,11,21,19,15,15,13,10,27,17,12,126,28,26,79
형법범,기타형법범,공무방해에 관한 죄,우발적,2063,1850,2324,2675,3002,2981,3513,4543,5327,4956,6115,6092,6892,10093,12243,11892,9305
형법범,기타형법범,공무방해에 관한 죄,현실불만,318,282,386,425,381,394,442,500,577,547,616,501,678,876,1226,1019,798
형법범,기타형법범,공무방해에 관한 죄,부주의,222,320,342,362,380,440,404,372,356,351,219,212,199,261,318,426,337
형법범,기타형법범,공무방해에 관한 죄,기타,2937,2777,3116,3840,4500,4765,4349,4372,4242,4629,5525,4910,6003,6594,5721,6464,4081
형법범,기타형법범,신용·업무와 경매에 관한 죄,이욕,568,558,544,491,573,789,680,1044,941,1059,110,102,121,173,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,사행심,27,3,44,17,22,10,17,8,15,6,15,15,12,9,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,보복,80,37,53,107,69,106,101,117,86,78,123,118,116,121,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,가정불화,7,5,5,4,7,6,12,11,19,10,13,23,24,42,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,호기심,4,5,15,52,62,12,15,68,35,7,6,5,8,10,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,유혹,5,-,6,4,9,3,3,15,23,3,101,11,26,19,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,우발적,255,232,314,348,395,521,699,1006,1109,1227,2191,2480,3740,5352,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,현실불만,457,357,251,565,540,850,634,720,1086,1097,704,786,843,1387,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,부주의,101,147,143,157,146,172,187,190,170,181,96,107,166,217,-,-,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,기타,3087,3524,3520,3931,4001,5294,6065,6204,7118,6764,8730,10513,11906,13452,-,-,-
형법범,기타형법범,도주와 도주원조죄,이욕,1,-,-,-,-,-,4,2,1,-,2,-,1,1,-,-,3
형법범,기타형법범,도주와 도주원조죄,사행심,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,보복,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,도주와 도주원조죄,유혹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,도주와 도주원조죄,우발적,2,-,1,1,5,1,-,2,3,1,4,3,8,8,3,6,2
